ID,fq6,fq14_ch_age,fq14_3,f_sep,ss_all,asbi_express,asbi_comply,asbi_disrupt,ch_ST_recs,ch_PA_recs,fq16_st_wk_trunc_hrs,fq16_tv_hrs,fq16_comp_hrs,fq18_avg_out_hrs
30904,Female,4.572211,No,3,84,37,29,8,0,1,2.285714,2,0.2857143,3
30713,Male,2.316222,No,2,82,39,29,12,1,1,0.6428572,0.6428572,0,5
30269,Male,2.379192,Yes,2,70,33,20,9,0,0,2.714286,2.071429,0.6428572,2.785714
30433,Male,2.099931,No,3,69,33,23,13,0,1,1.214286,1.214286,0,4.714286
300045,Male,2.488706,No,3,78,35,25,8,1,0,0.7857143,0.5,0.2857143,2.285714
300053,Male,3.868583,No,3,62,36,15,15,0,0,5.428572,4.571428,0.8571428,1.714286
30852,Female,4.388775,No,3,80,37,27,10,1,1,0,0,0,4.285714
300041,Male,3.433265,No,3,80,39,26,11,1,0,0.7857143,0.6428572,0.1428571,2.928571
30334,Male,4.922656,No,3,82,39,28,11,0,1,7.285714,6.785714,0.5,10.85714
30257,Male,5.661875,No,2,85,39,29,9,0,1,6.571428,3.285714,3.285714,6
30255,Male,3.59206,No,2,78,37,24,11,1,0,0,0,0,2.5
30481,Female,3.028063,No,3,81,39,26,10,1,1,0.6428572,0.6428572,0,3.142857
30110,Female,4.388775,No,2,81,36,28,9,0,1,2.5,2,0.5,4.142857
30502,Female,5.431896,No,2,61,28,18,11,0,1,12,11.42857,1,7.428572
30499,Female,4.974675,Yes,2,74,35,23,10,0,1,3.214286,2.857143,0.3571429,3
30886,Male,2.609172,No,2,76,35,24,9,1,1,0.5,0.5,0,3.5
300016,Male,3.600274,No,3,72,37,20,11,1,1,1,1,0,4.428572
30805,Male,3.811088,Yes,2,88,39,30,7,1,1,0.8571428,0.5714285,0.2857143,9.428572
30577,Female,3.622177,Yes,1,80,36,27,9,0,0,3,2.5,0.5,2.785714
30421,Male,2.499658,Yes,2,69,32,21,10,0,1,1.142857,0.6428572,0.5,3.285714
30689,Female,4.11499,No,3,77,38,26,15,0,0,1.142857,1,0.1428571,1.857143
30560,Female,4.52293,No,3,75,36,23,10,0,0,1.142857,1,0.1428571,2
30730,Female,2.223135,No,3,84,39,28,9,1,1,0,0,0,10.85714
30158,Female,3.712526,No,2,79,37,26,12,0,1,1.642857,1.142857,0.5,3.071429
30121,Male,3.789186,No,2,75,34,26,11,0,0,3.285714,2.357143,0.9285715,1.5
30792,Female,3.022587,No,3,80,35,30,11,0,0,1.285714,1.285714,0,2.642857
30580,Male,4.405202,No,3,76,35,26,11,1,1,0.9285715,0.9285715,0,3
30340,Female,3.444216,No,3,74,36,24,12,0,1,5.357142,4.857142,0.5,4.571428
30441,Male,3.772758,No,3,84,39,29,10,0,0,1.642857,1.642857,0,2.571429
30765,Female,4.125941,No,3,74,35,23,10,0,1,3.285714,2.142857,1.142857,5.714286
30589,Male,5.065024,No,3,88,39,30,7,0,0,1.142857,1,0.1428571,2.928571
30352,Male,3.564682,No,3,85,39,28,8,1,1,0.7857143,0.7857143,0,4.571428
30413,Male,3.493498,No,3,75,35,25,11,1,1,0.1428571,0.1428571,0,3.142857
30887,Female,2.948665,No,2,80,35,26,7,0,0,2.285714,1.785714,0.5,1.142857
30419,Male,4.550308,No,3,82,37,28,9,0,0,3,1.714286,1.285714,1.714286
30849,Female,4.637919,No,2,72,35,24,13,1,1,0.4285714,0.4285714,0,4.428572
30410,Male,2.888433,No,1,80,37,26,9,0,0,1.928571,1.285714,0.6428572,2.642857
30868,Male,2.822724,No,1,78,37,27,12,0,0,4.5,3.5,1,0.6428572
30815,Male,4.169747,No,3,82,39,29,12,0,0,2.285714,2.285714,0,2.142857
300037,Female,2.258727,No,3,68,31,20,9,1,0,0.5,0,0.5,1.642857
30622,Female,2.121834,No,3,60,27,19,12,1,0,1,0.5,0.5,1.714286
30844,Female,3.972621,No,3,85,39,30,10,0,0,1.928571,0.9285715,1,2.142857
30779,Male,4.39425,No,3,77,37,24,10,0,1,1.642857,1.642857,0,4
30328,Male,3.655031,No,3,74,35,22,9,0,0,1.285714,1.285714,0,2
30669,Male,4.542094,No,3,76,38,22,12,0,0,1.428571,1.285714,0.1428571,2.785714
30313,Female,3.195072,Yes,3,72,33,24,11,0,0,1.714286,1.714286,0,2.285714
30535,Male,4.514716,No,3,82,39,26,9,1,0,0.7857143,0.4285714,0.3571429,1
30895,Male,4.243669,Yes,3,72,33,23,10,0,1,2.071429,1.142857,0.9285715,3
30840,Female,3.882272,No,3,82,37,29,10,1,0,0.2857143,0.1428571,0.1428571,1.785714
30917,Female,3.118412,No,3,84,37,30,9,1,0,0.8571428,0.5,0.3571429,2
300025,Female,4.77755,No,3,78,37,28,13,0,1,1.142857,1.142857,0,3
30498,Female,4.454483,No,2,79,39,25,11,0,0,1.428571,1.285714,0.1428571,2.428571
30563,Female,2.787132,No,3,71,35,20,10,1,1,1,1,0,3.428571
30867,Male,2.672142,No,2,66,30,21,11,0,0,1.5,1.5,0,1.857143
30380,Male,4.599589,No,2,70,36,23,17,0,0,3.571429,2.285714,1.285714,2.571429
30531,Male,5.305955,No,3,84,38,30,10,1,0,0.9285715,0.7857143,0.1428571,2.928571
30664,Female,5.724846,No,3,84,37,29,8,0,1,1.428571,1.285714,0.1428571,3.214286
30943,Male,2.995209,No,2,83,38,30,13,1,0,1,0,1,2.285714
30402,Male,5.355236,Yes,3,64,31,20,15,1,1,1,1,0,3.285714
30251,Male,4.265572,No,3,80,37,25,8,0,0,3.214286,2.571429,0.6428572,2.285714
30853,Female,4.665298,No,3,82,35,29,8,1,0,0.1428571,0,0.1428571,1.357143
30355,Male,3.449692,No,3,80,39,26,11,0,0,1.785714,1.285714,0.5,2
30504,Male,2.551677,No,3,71,34,22,11,0,1,2.5,1,1.5,6.285714
30234,Female,4.243669,No,3,72,37,21,12,0,1,2.142857,1.5,0.6428572,3
30492,Female,2.913073,No,2,80,39,25,10,1,1,0.5,0.5,0,4.285714
30346,Female,4.235455,No,3,81,38,27,10,0,0,2.142857,1.642857,0.5,2.714286
30261,Male,4.703628,No,2,76,35,27,14,0,1,1.857143,0.9285715,0.9285715,5
30307,Male,4.186174,No,3,78,35,28,11,0,0,1.785714,1,0.7857143,1.857143
30650,Female,4.427105,No,2,74,38,23,13,0,0,2,1.5,0.5,1.5
